scenario,policy,mean_response_time,p95_response_time,origin_free_rate,neighbor_failure_rate,zipf_alpha,es_availability,local_es_availability,neighbor_es_availability,origin_delay,local_es_count,neighbor_group_size,k,trial_index,trial_seed,sweep_name,sweep_value
origin_congestion,B2,47.538,70.657,0.9811,0.042,1.1,0.82,0.82,0.82,320.0,3,5,3,0,20280525,formal_scenario,origin_congestion
origin_congestion,B2,47.749,70.879,0.9808,0.0425,1.1,0.82,0.82,0.82,320.0,3,5,3,1,20280526,formal_scenario,origin_congestion
origin_congestion,B2,48.012,70.936,0.9786,0.0484,1.1,0.82,0.82,0.82,320.0,3,5,3,2,20280527,formal_scenario,origin_congestion
origin_congestion,B2,47.834,70.797,0.9808,0.0422,1.1,0.82,0.82,0.82,320.0,3,5,3,3,20280528,formal_scenario,origin_congestion
origin_congestion,B2,47.976,70.996,0.979,0.0472,1.1,0.82,0.82,0.82,320.0,3,5,3,4,20280529,formal_scenario,origin_congestion
origin_congestion,B2,47.691,70.45,0.9804,0.0437,1.1,0.82,0.82,0.82,320.0,3,5,3,5,20280530,formal_scenario,origin_congestion
origin_congestion,B2,47.305,70.582,0.9824,0.0388,1.1,0.82,0.82,0.82,320.0,3,5,3,6,20280531,formal_scenario,origin_congestion
origin_congestion,B2,47.137,70.657,0.9819,0.0406,1.1,0.82,0.82,0.82,320.0,3,5,3,7,20280532,formal_scenario,origin_congestion
origin_congestion,B2,47.188,70.655,0.9819,0.0405,1.1,0.82,0.82,0.82,320.0,3,5,3,8,20280533,formal_scenario,origin_congestion
origin_congestion,B2,47.371,70.835,0.9806,0.0439,1.1,0.82,0.82,0.82,320.0,3,5,3,9,20280534,formal_scenario,origin_congestion
