scenario,policy,mean_response_time,p95_response_time,origin_free_rate,neighbor_failure_rate,zipf_alpha,es_availability,local_es_availability,neighbor_es_availability,origin_delay,local_es_count,neighbor_group_size,k,trial_index,trial_seed,sweep_name,sweep_value
origin_delay_repeated,B2,46.741,70.897,0.9777,0.0497,1.1,0.82,0.82,0.82,240.0,3,5,3,6,20262931,origin_delay,240.0
origin_delay_repeated,B0,126.847,261.485,0.5564,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,7,20262932,origin_delay,240.0
origin_delay_repeated,B1,46.741,70.897,0.9777,0.0497,1.1,0.82,0.82,0.82,240.0,3,5,3,7,20262932,origin_delay,240.0
origin_delay_repeated,B2,46.379,70.837,0.9796,0.0452,1.1,0.82,0.82,0.82,240.0,3,5,3,7,20262932,origin_delay,240.0
origin_delay_repeated,B0,127.671,261.191,0.5525,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,8,20262933,origin_delay,240.0
origin_delay_repeated,B1,46.379,70.837,0.9796,0.0452,1.1,0.82,0.82,0.82,240.0,3,5,3,8,20262933,origin_delay,240.0
origin_delay_repeated,B2,45.572,70.615,0.9831,0.0376,1.1,0.82,0.82,0.82,240.0,3,5,3,8,20262933,origin_delay,240.0
origin_delay_repeated,B0,127.84,261.163,0.5518,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,9,20262934,origin_delay,240.0
origin_delay_repeated,B1,45.572,70.615,0.9831,0.0376,1.1,0.82,0.82,0.82,240.0,3,5,3,9,20262934,origin_delay,240.0
origin_delay_repeated,B2,45.602,70.327,0.9813,0.0424,1.1,0.82,0.82,0.82,240.0,3,5,3,9,20262934,origin_delay,240.0
origin_delay_repeated,B0,166.196,341.405,0.5439,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0,20263725,origin_delay,320.0
origin_delay_repeated,B1,47.668,70.679,0.9803,0.044,1.1,0.82,0.82,0.82,320.0,3,5,3,0,20263725,origin_delay,320.0
origin_delay_repeated,B2,47.907,71.047,0.9797,0.0453,1.1,0.82,0.82,0.82,320.0,3,5,3,0,20263725,origin_delay,320.0
origin_delay_repeated,B0,164.295,341.212,0.5499,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,1,20263726,origin_delay,320.0
origin_delay_repeated,B1,47.907,71.047,0.9797,0.0453,1.1,0.82,0.82,0.82,320.0,3,5,3,1,20263726,origin_delay,320.0
origin_delay_repeated,B2,48.372,71.427,0.9781,0.0491,1.1,0.82,0.82,0.82,320.0,3,5,3,1,20263726,origin_delay,320.0
origin_delay_repeated,B0,164.037,341.556,0.5509,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,2,20263727,origin_delay,320.0
origin_delay_repeated,B1,48.372,71.427,0.9781,0.0491,1.1,0.82,0.82,0.82,320.0,3,5,3,2,20263727,origin_delay,320.0
origin_delay_repeated,B2,48.024,71.297,0.979,0.047,1.1,0.82,0.82,0.82,320.0,3,5,3,2,20263727,origin_delay,320.0
origin_delay_repeated,B0,164.645,341.446,0.549,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,3,20263728,origin_delay,320.0
origin_delay_repeated,B1,48.024,71.297,0.979,0.047,1.1,0.82,0.82,0.82,320.0,3,5,3,3,20263728,origin_delay,320.0
origin_delay_repeated,B2,48.081,70.753,0.9794,0.0457,1.1,0.82,0.82,0.82,320.0,3,5,3,3,20263728,origin_delay,320.0
