scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.25,1.1,3,5,3,74.1297,0.47571,0.150433,73.834852,74.424548,141.3897,0.152133,0.048109,141.295407,141.483993,0.55151,0.004192,0.001326,0.548912,0.554108,0.0,0.0,0.0,0.0,0.0,8.1183
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.3,1.1,3,5,3,74.4643,0.498191,0.157542,74.155518,74.773082,141.4129,0.126544,0.040017,141.334467,141.491333,0.54859,0.004446,0.001406,0.545835,0.551345,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.3,1.1,3,5,3,79.6662,0.680816,0.215293,79.244226,80.088174,168.8449,0.154027,0.048708,168.749433,168.940367,0.62234,0.00498,0.001575,0.619253,0.625427,0.83956,0.005305,0.001678,0.836272,0.842848,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.3,1.1,3,5,3,74.3623,0.35673,0.112808,74.141196,74.583404,141.407,0.096379,0.030478,141.347264,141.466736,0.54955,0.003199,0.001012,0.547567,0.551533,0.0,0.0,0.0,0.0,0.0,5.3039
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.35,1.1,3,5,3,74.2079,0.563839,0.178301,73.858429,74.557371,141.3528,0.131605,0.041617,141.27123,141.43437,0.55061,0.004849,0.001533,0.547605,0.553615,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.35,1.1,3,5,3,76.0057,0.700165,0.221412,75.571733,76.439667,168.51,0.139174,0.044011,168.423739,168.596261,0.65765,0.005016,0.001586,0.654541,0.660759,0.76605,0.006974,0.002205,0.761728,0.770372,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.35,1.1,3,5,3,74.1764,0.451386,0.142741,73.896628,74.456172,141.3614,0.115542,0.036538,141.289786,141.433014,0.55104,0.003878,0.001226,0.548636,0.553444,0.0,0.0,0.0,0.0,0.0,1.8293
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.45,1.1,3,5,3,74.1132,0.649307,0.205329,73.710755,74.515645,141.3984,0.169155,0.053491,141.293557,141.503243,0.55155,0.005572,0.001762,0.548097,0.555003,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.45,1.1,3,5,3,68.3859,0.761306,0.240746,67.914037,68.857763,167.6887,0.15586,0.049287,167.592097,167.785303,0.73513,0.005101,0.001613,0.731969,0.738291,0.58886,0.005136,0.001624,0.585677,0.592043,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.45,1.1,3,5,3,68.2444,0.660372,0.208828,67.835097,68.653703,167.7071,0.185682,0.058718,167.592013,167.822187,0.73595,0.004147,0.001311,0.73338,0.73852,0.58895,0.005348,0.001691,0.585635,0.592265,0.1415
