scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,80.0,0.65,1.1,3,5,3,63.7519,0.4364,0.138002,63.481417,64.022383,126.212,0.155577,0.049198,126.115572,126.308428,0.82837,0.00422,0.001334,0.825755,0.830985,0.23676,0.005336,0.001687,0.233453,0.240067,-0.003
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,80.0,0.75,1.1,3,5,3,65.8302,0.410762,0.129894,65.575607,66.084793,102.12,0.131783,0.041674,102.03832,102.20168,0.42091,0.005364,0.001696,0.417586,0.424234,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,80.0,0.75,1.1,3,5,3,50.6646,0.260055,0.082237,50.503416,50.825784,121.5427,0.283377,0.089612,121.367061,121.718339,0.94249,0.001871,0.000592,0.94133,0.94365,0.09982,0.003151,0.000996,0.097867,0.101773,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,80.0,0.75,1.1,3,5,3,50.6815,0.262316,0.082952,50.518915,50.844085,121.5914,0.31818,0.100617,121.39419,121.78861,0.94196,0.002414,0.000763,0.940464,0.943456,0.10079,0.004242,0.001342,0.09816,0.10342,-0.0169
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,80.0,0.82,1.1,3,5,3,55.9318,0.325309,0.102872,55.730171,56.133429,101.4216,0.101764,0.03218,101.358526,101.484674,0.55527,0.004684,0.001481,0.552367,0.558173,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,80.0,0.82,1.1,3,5,3,42.9606,0.303969,0.096123,42.772198,43.149002,70.7807,0.248169,0.078478,70.626883,70.934517,0.98084,0.001728,0.000546,0.979769,0.981911,0.04278,0.003598,0.001138,0.04055,0.04501,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,80.0,0.82,1.1,3,5,3,42.9068,0.258411,0.081717,42.746635,43.066965,70.7559,0.242929,0.076821,70.605331,70.906469,0.98083,0.001732,0.000548,0.979756,0.981904,0.04291,0.003646,0.001153,0.04065,0.04517,0.0538
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,80.0,0.9,1.1,3,5,3,43.1252,0.289501,0.091548,42.945766,43.304634,99.804,0.128927,0.04077,99.72409,99.88391,0.72791,0.003848,0.001217,0.725525,0.730295,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,80.0,0.9,1.1,3,5,3,34.4635,0.227595,0.071972,34.322435,34.604565,67.9308,0.115404,0.036494,67.859272,68.002328,0.99785,0.00046,0.000145,0.997565,0.998135,0.00798,0.001759,0.000556,0.00689,0.00907,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,80.0,0.9,1.1,3,5,3,34.4928,0.211021,0.066731,34.362008,34.623592,67.9159,0.121668,0.038475,67.840489,67.991311,0.9978,0.000392,0.000124,0.997557,0.998043,0.00815,0.001539,0.000487,0.007196,0.009104,-0.0293
